COD_INE,COD_PROV,PROVINCIA,NOMBRE_ACTUAL,POBLACION_MUNI,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD,ARCHIVO_TMY
01001000000,01,Araba/Álava,Alegría-Dulantzi,2925,-2.51243731,42.83981158,568.0,01001000000_Alegría-Dulantzi.csv
01002000000,01,Araba/Álava,Amurrio,10307,-3.00007326,43.05427776,219.0,01002000000_Amurrio.csv
01003000000,01,Araba/Álava,Aramaio,1456,-2.56540037,43.05119653,333.0,01003000000_Aramaio.csv
01004000000,01,Araba/Álava,Artziniega,1809,-3.12791718,43.12084358,210.0,01004000000_Artziniega.csv
01006000000,01,Araba/Álava,Armiñón,231,-2.87183475,42.72326199,467.0,01006000000_Armiñón.csv
01008000000,01,Araba/Álava,Arratzua-Ubarrundia,1017,-2.63878816,42.89116171,528.0,01008000000_Arratzua-Ubarrundia.csv
01009000000,01,Araba/Álava,Asparrena,1633,-2.31670754,42.88968768,602.0,01009000000_Asparrena.csv
01010000000,01,Araba/Álava,Ayala/Aiara,2951,-3.04306746,43.07768283,306.0,01010000000_Ayala__Aiara.csv
01011000000,01,Araba/Álava,Baños de Ebro/Mañueta,287,-2.67863583,42.52925602,421.0,01011000000_Baños de Ebro__Mañueta.csv
01013000000,01,Araba/Álava,Barrundia,895,-2.49407452,42.91537538,575.0,01013000000_Barrundia.csv
01014000000,01,Araba/Álava,Berantevilla,465,-2.85971414,42.68227191,471.0,01014000000_Berantevilla.csv
01016000000,01,Araba/Álava,Bernedo,538,-2.49825439,42.62676989,710.0,01016000000_Bernedo.csv
01017000000,01,Araba/Álava,Campezo/Kanpezu,1081,-2.35207693,42.66971209,578.0,01017000000_Campezo__Kanpezu.csv
01018000000,01,Araba/Álava,Zigoitia,1802,-2.73033002,42.96210609,585.0,01018000000_Zigoitia.csv
01019000000,01,Araba/Álava,Kripan,175,-2.51621636,42.59082439,691.0,01019000000_Kripan.csv
01020000000,01,Araba/Álava,Kuartango,396,-2.88438243,42.87006411,594.0,01020000000_Kuartango.csv
01021000000,01,Araba/Álava,Elburgo/Burgelu,634,-2.545933,42.850282,540.0,01021000000_Elburgo__Burgelu.csv
01022000000,01,Araba/Álava,Elciego,996,-2.61723872,42.51420738,451.0,01022000000_Elciego.csv
01023000000,01,Araba/Álava,Elvillar/Bilar,327,-2.54441267,42.56842577,581.0,01023000000_Elvillar__Bilar.csv
01027000000,01,Araba/Álava,Iruraiz-Gauna,529,-2.475996232,42.83131017,627.0,01027000000_Iruraiz-Gauna.csv
01028000000,01,Araba/Álava,Labastida/Bastida,1532,-2.793199,42.590217,555.0,01028000000_Labastida__Bastida.csv
01030000000,01,Araba/Álava,Lagrán,171,-2.58423377,42.62621464,751.0,01030000000_Lagrán.csv
01031000000,01,Araba/Álava,Laguardia,1464,-2.58411693,42.55236655,630.0,01031000000_Laguardia.csv
01032000000,01,Araba/Álava,Lanciego/Lantziego,692,-2.51278162,42.5624416,542.0,01032000000_Lanciego__Lantziego.csv
01033000000,01,Araba/Álava,Lapuebla de Labarca,858,-2.57209001,42.49441468,431.0,01033000000_Lapuebla de Labarca.csv
01034000000,01,Araba/Álava,Leza,219,-2.63459428,42.56469687,569.0,01034000000_Leza.csv
01036000000,01,Araba/Álava,Laudio/Llodio,18009,-2.96256495,43.1425188,123.0,01036000000_Laudio__Llodio.csv
01037000000,01,Araba/Álava,Arraia-Maeztu,800,-2.444299,42.738527,649.0,01037000000_Arraia-Maeztu.csv
01039000000,01,Araba/Álava,Moreda de Álava/Moreda Araba,209,-2.40841718,42.52479167,461.0,01039000000_Moreda de Álava__Moreda Araba.csv
01041000000,01,Araba/Álava,Navaridas,197,-2.62479544,42.5450594,535.0,01041000000_Navaridas.csv
01042000000,01,Araba/Álava,Okondo,1196,-3.019026823,43.1615513,135.0,01042000000_Okondo.csv
01043000000,01,Araba/Álava,Oyón-Oion,3418,-2.436788,42.506067,435.0,01043000000_Oyón-Oion.csv
01044000000,01,Araba/Álava,Peñacerrada-Urizaharra,299,-2.71402821,42.64417512,752.0,01044000000_Peñacerrada-Urizaharra.csv
01046000000,01,Araba/Álava,Erriberagoitia/Ribera Alta,826,-2.91080642,42.80074682,545.0,01046000000_Erriberagoitia__Ribera Alta.csv
01047000000,01,Araba/Álava,Erriberabeitia,1421,-2.91704002,42.71339792,483.0,01047000000_Erriberabeitia.csv
01049000000,01,Araba/Álava,Añana,155,-2.98601634,42.8012318,574.0,01049000000_Añana.csv
01051000000,01,Araba/Álava,Agurain/Salvatierra,5029,-2.389753,42.850452,608.0,01051000000_Agurain__Salvatierra.csv
01052000000,01,Araba/Álava,Samaniego,308,-2.67904862,42.56735197,571.0,01052000000_Samaniego.csv
01053000000,01,Araba/Álava,San Millán/Donemiliaga,716,-2.37748902,42.87382571,600.0,01053000000_San Millán__Donemiliaga.csv
