COD_INE,COD_PROV,PROVINCIA,NOMBRE_ACTUAL,POBLACION_MUNI,LONGITUD_ETRS89,LATITUD_ETRS89,ALTITUD,ARCHIVO_TMY,ZC_CTE_2019,ZCI_CTE_2019,ZCV_CTE_2019,GD_I,GD_V,n_N,SCI,SCV,ZCI_TMY,ZCV_TMY,ZCI_DIFF,ZCV_DIFF
01001000000,01,Araba/Álava,Alegría-Dulantzi,2925,-2.51243731,42.83981158,568.0,01001000000_Alegría-Dulantzi.csv,D1,D,1,2936.1,119.6,0.539,1.42,0.18,D,1,0,0
01002000000,01,Araba/Álava,Amurrio,10307,-3.00007326,43.05427776,219.0,01002000000_Amurrio.csv,D1,D,1,2831.1,102.2,0.444,1.37,0.13,D,1,0,0
01003000000,01,Araba/Álava,Aramaio,1456,-2.56540037,43.05119653,333.0,01003000000_Aramaio.csv,D1,D,1,2817.3,112.7,0.37,1.4,0.16,D,1,0,0
01004000000,01,Araba/Álava,Artziniega,1809,-3.12791718,43.12084358,210.0,01004000000_Artziniega.csv,D1,D,1,2913.0,103.0,0.418,1.45,0.14,D,1,0,0
01006000000,01,Araba/Álava,Armiñón,231,-2.87183475,42.72326199,467.0,01006000000_Armiñón.csv,D1,D,1,2782.6,193.5,0.492,1.31,0.4,D,1,0,0
01008000000,01,Araba/Álava,Arratzua-Ubarrundia,1017,-2.63878816,42.89116171,528.0,01008000000_Arratzua-Ubarrundia.csv,D1,D,1,2875.6,140.0,0.504,1.38,0.25,D,1,0,0
01009000000,01,Araba/Álava,Asparrena,1633,-2.31670754,42.88968768,602.0,01009000000_Asparrena.csv,E1,E,1,3012.2,98.8,0.493,1.5,0.12,D,1,-1,0
01010000000,01,Araba/Álava,Ayala/Aiara,2951,-3.04306746,43.07768283,306.0,01010000000_Ayala__Aiara.csv,D1,D,1,2831.1,102.2,0.423,1.38,0.13,D,1,0,0
01011000000,01,Araba/Álava,Baños de Ebro/Mañueta,287,-2.67863583,42.52925602,421.0,01011000000_Baños de Ebro__Mañueta.csv,D1,D,1,2780.9,179.5,0.471,1.32,0.36,D,1,0,0
01013000000,01,Araba/Álava,Barrundia,895,-2.49407452,42.91537538,575.0,01013000000_Barrundia.csv,D1,D,1,2994.5,124.3,0.455,1.51,0.2,D,1,0,0
01014000000,01,Araba/Álava,Berantevilla,465,-2.85971414,42.68227191,471.0,01014000000_Berantevilla.csv,D1,D,1,2832.2,155.4,0.555,1.32,0.29,D,1,0,0
01016000000,01,Araba/Álava,Bernedo,538,-2.49825439,42.62676989,710.0,01016000000_Bernedo.csv,E1,E,1,2742.8,208.1,0.466,1.29,0.45,D,1,-1,0
01017000000,01,Araba/Álava,Campezo/Kanpezu,1081,-2.35207693,42.66971209,578.0,01017000000_Campezo__Kanpezu.csv,D1,D,1,2860.8,187.2,0.54,1.35,0.38,D,1,0,0
01018000000,01,Araba/Álava,Zigoitia,1802,-2.73033002,42.96210609,585.0,01018000000_Zigoitia.csv,D1,D,1,2935.5,97.9,0.458,1.46,0.12,D,1,0,0
01019000000,01,Araba/Álava,Kripan,175,-2.51621636,42.59082439,691.0,01019000000_Kripan.csv,E1,E,1,2745.6,218.0,0.519,1.27,0.48,D,1,-1,0
01020000000,01,Araba/Álava,Kuartango,396,-2.88438243,42.87006411,594.0,01020000000_Kuartango.csv,D1,D,1,2829.7,100.0,0.428,1.38,0.13,D,1,0,0
01021000000,01,Araba/Álava,Elburgo/Burgelu,634,-2.545933,42.850282,540.0,01021000000_Elburgo__Burgelu.csv,D1,D,1,2762.9,171.4,0.539,1.27,0.34,D,1,0,0
01022000000,01,Araba/Álava,Elciego,996,-2.61723872,42.51420738,451.0,01022000000_Elciego.csv,D1,D,1,2657.6,172.4,0.565,1.17,0.34,D,1,0,0
